Country,Year,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Finland,2022,7.821,7.886,7.756,2.518,1.892,1.258,0.775,0.736,0.109,0.534
Denmark,2022,7.636,7.710,7.563,2.226,1.953,1.243,0.777,0.719,0.188,0.532
Iceland,2022,7.557,7.651,7.464,2.320,1.936,1.320,0.803,0.718,0.270,0.191
Switzerland,2022,7.512,7.586,7.437,2.153,2.026,1.226,0.822,0.677,0.147,0.461
Netherlands,2022,7.415,7.471,7.359,2.137,1.945,1.206,0.787,0.651,0.271,0.419
Luxembourg*,2022,7.404,7.501,7.307,2.042,2.209,1.155,0.790,0.700,0.120,0.388
Sweden,2022,7.384,7.454,7.315,2.003,1.920,1.204,0.803,0.724,0.218,0.512
Norway,2022,7.365,7.440,7.290,1.925,1.997,1.239,0.786,0.728,0.217,0.474
Israel,2022,7.364,7.426,7.301,2.634,1.826,1.221,0.818,0.568,0.155,0.143
New Zealand,2022,7.200,7.279,7.120,1.954,1.852,1.235,0.752,0.680,0.245,0.483
Austria,2022,7.163,7.237,7.089,2.148,1.931,1.165,0.774,0.623,0.193,0.329
Australia,2022,7.162,7.244,7.081,2.011,1.900,1.203,0.772,0.676,0.258,0.341
Ireland,2022,7.041,7.121,6.961,1.743,2.129,1.166,0.779,0.627,0.190,0.408
Germany,2022,7.034,7.122,6.947,2.142,1.924,1.088,0.776,0.585,0.163,0.358
Canada,2022,7.025,7.107,6.943,1.924,1.886,1.188,0.783,0.659,0.217,0.368
United States,2022,6.977,7.065,6.888,2.214,1.982,1.182,0.628,0.574,0.220,0.177
United Kingdom,2022,6.943,7.018,6.867,1.967,1.867,1.143,0.750,0.597,0.289,0.329
Czechia,2022,6.920,7.029,6.811,2.263,1.815,1.260,0.715,0.660,0.158,0.048
Belgium,2022,6.805,6.890,6.720,2.283,1.907,1.106,0.764,0.492,0.049,0.204
France,2022,6.687,6.758,6.615,1.895,1.863,1.219,0.808,0.567,0.070,0.266
Bahrain,2022,6.647,6.779,6.514,2.092,1.854,1.029,0.625,0.693,0.199,0.155
Slovenia,2022,6.630,6.718,6.542,1.885,1.810,1.249,0.769,0.685,0.118,0.115
Costa Rica,2022,6.582,6.683,6.481,2.346,1.584,1.054,0.744,0.661,0.089,0.102
United Arab Emirates,2022,6.576,6.660,6.492,1.809,1.998,0.980,0.633,0.702,0.204,0.250
Saudi Arabia,2022,6.523,6.637,6.409,2.075,1.870,1.092,0.577,0.651,0.078,0.180
Taiwan Province of China,2022,6.512,6.596,6.429,2.002,1.897,1.095,0.733,0.542,0.075,0.168
Singapore,2022,6.480,6.569,6.392,0.932,2.149,1.127,0.851,0.672,0.163,0.587
Romania,2022,6.477,6.575,6.379,2.446,1.719,1.006,0.655,0.605,0.039,0.006
Spain,2022,6.476,6.560,6.392,1.893,1.808,1.211,0.808,0.505,0.101,0.149
Uruguay,2022,6.474,6.562,6.386,1.974,1.615,1.180,0.672,0.665,0.103,0.265
Italy,2022,6.467,6.570,6.363,2.222,1.834,1.052,0.801,0.412,0.085,0.059
Kosovo,2022,6.455,6.571,6.339,2.631,1.362,0.949,0.569,0.599,0.309,0.035
Malta,2022,6.447,6.535,6.359,1.631,1.838,1.169,0.789,0.679,0.174,0.166
Lithuania,2022,6.446,6.535,6.356,2.153,1.804,1.204,0.659,0.496,0.053,0.077
Slovakia,2022,6.391,6.475,6.306,2.094,1.736,1.232,0.707,0.479,0.118,0.025
Estonia,2022,6.341,6.415,6.266,1.442,1.793,1.232,0.728,0.689,0.123,0.333
Panama,2022,6.309,6.464,6.154,2.086,1.715,1.107,0.709,0.592,0.049,0.051
Brazil,2022,6.293,6.384,6.202,2.361,1.462,1.044,0.615,0.546,0.131,0.134
